timestamp,package_number,gesture_name,gesture_number,s1,s2,s3,s4,s5,s6,s7,s8
1449106174729,2,0,0,-3,1,-5,1,-5,-5,-4,-13
1449106174729,2,0,0,-2,-4,0,1,2,0,-1,0
1449106174730,3,0,0,0,7,-12,-9,0,2,0,-2
1449106174730,3,0,0,-3,-6,-9,-1,1,-2,-3,-1
1449106174731,0,0,0,9,1,0,-6,-2,-4,1,12
1449106174731,0,0,0,-3,-4,-14,-3,0,-1,-3,-8
1449106174776,1,0,0,-2,0,-9,0,0,-2,0,-2
1449106174776,1,0,0,1,8,9,2,-1,1,0,0
1449106174777,2,0,0,-1,-7,0,2,2,1,-1,1
1449106174777,2,0,0,-1,4,-5,-9,-1,4,3,4
1449106174778,0,0,0,-3,-6,0,-1,-4,-5,-3,-2
1449106174778,0,0,0,4,1,7,1,-2,-3,-2,5
1449106174779,1,0,0,-3,2,-3,7,4,3,0,-9
1449106174779,1,0,0,-1,-5,-6,-7,0,0,3,14
1449106174825,2,0,0,0,-5,1,4,-3,-4,-5,-2
1449106174825,2,0,0,-1,0,-5,-4,-1,-3,-6,-12
1449106174826,3,0,0,0,-3,-18,-8,-5,-3,-3,-5
1449106174826,3,0,0,2,3,6,0,-1,1,3,14
1449106174827,1,0,0,-3,-5,-7,-1,-2,-1,-4,-8
1449106174827,1,0,0,-1,9,24,6,0,0,1,-8
1449106174828,2,0,0,5,7,-1,5,0,-2,-1,3
1449106174828,2,0,0,0,1,5,1,-2,-3,2,11
1449106174874,3,0,0,2,3,-4,0,0,-1,0,2
1449106174874,3,0,0,-6,-20,-33,-16,-5,-2,-2,-4
1449106174875,0,0,0,3,-2,-4,2,1,0,0,-5
1449106174875,2,0,0,3,11,55,15,10,2,2,5
1449106174875,0,0,0,-8,-2,21,0,1,2,0,-4
1449106174875,2,0,0,-2,-1,-45,-14,-7,-4,-4,-9
1449106174876,3,0,0,-6,-4,8,5,-4,-6,-7,-1
1449106174876,3,0,0,-3,-9,-28,-7,-1,-1,-1,-1
1449106174923,0,0,0,2,5,29,11,1,0,2,-2
1449106174923,0,0,0,7,3,-20,-11,-1,2,3,9
1449106174924,1,0,0,-15,-12,-22,-1,-3,-3,-7,-29
1449106174924,3,0,0,5,2,-3,-6,2,2,3,8
1449106174924,3,0,0,-3,2,21,5,4,5,2,-3
1449106174924,1,0,0,3,10,41,10,1,-1,-1,3
1449106174925,0,0,0,-1,3,-3,-1,-8,-4,-3,-2
1449106174925,0,0,0,0,-2,-3,0,1,-1,-1,-3
1449106174971,1,0,0,1,1,7,3,0,2,0,-3
1449106174971,1,0,0,5,2,13,0,1,0,3,3
1449106174972,2,0,0,0,-1,-8,7,4,1,-1,2
1449106174972,2,0,0,1,-3,-9,-6,4,4,1,2
1449106174973,0,0,0,-4,-10,5,4,3,3,2,0
1449106174973,0,0,0,0,7,-2,3,3,1,0,-1
1449106174974,1,0,0,-1,-3,-19,-11,-3,-1,-1,-3
1449106174974,1,0,0,2,9,17,-1,-3,-3,-2,3
1449106175020,2,0,0,-3,-5,-20,2,-3,-1,-5,-5
1449106175020,2,0,0,-1,0,-3,-1,-2,-2,-2,-3
1449106175021,3,0,0,6,9,8,-4,2,0,0,2
1449106175021,1,0,0,4,1,-16,-11,-8,-5,0,1
1449106175021,1,0,0,-1,-1,-4,4,1,2,1,3
1449106175021,3,0,0,-3,-4,-12,-1,-1,1,0,-3
1449106175023,2,0,0,-1,5,27,5,2,4,2,-3
1449106175023,2,0,0,9,2,1,-2,-6,-7,-2,6
1449106175069,3,0,0,-6,-17,-36,-8,4,0,0,-2
1449106175069,3,0,0,-7,6,1,4,-1,-2,-1,-4
1449106175070,1,0,0,8,8,4,8,3,3,4,3
1449106175070,0,0,0,-20,-14,12,-5,-11,-8,-7,-10
1449106175070,1,0,0,-9,1,45,16,1,-4,-7,-7
