timestamp,package_number,gesture_name,gesture_number,s1,s2,s3,s4,s5,s6,s7,s8
1449106764896,3,0,0,-8,0,59,26,-5,-7,-6,-6
1449106764896,1,0,0,-12,-21,-6,9,2,-6,-4,-4
1449106764896,1,0,0,-4,7,-3,-10,-3,1,-2,-4
1449106764896,3,0,0,3,9,2,-1,2,0,0,3
1449106764897,2,0,0,-2,0,9,12,1,-5,-6,-4
1449106764897,2,0,0,5,5,-12,-19,-12,-2,3,7
1449106764943,3,0,0,5,13,13,-8,-7,0,2,3
1449106764943,3,0,0,-10,-23,-21,-16,3,3,-2,-3
1449106764944,0,0,0,1,0,-4,-27,-8,0,3,1
1449106764944,0,0,0,-4,-15,-2,37,21,1,-1,-3
1449106764945,2,0,0,2,-1,15,10,-4,-1,1,0
1449106764945,2,0,0,-3,-6,7,-1,-3,-3,-1,-3
1449106764946,3,0,0,-1,-6,-22,-28,-7,-5,-2,0
1449106764946,3,0,0,7,12,2,-2,5,4,3,3
1449106764992,0,0,0,-3,3,4,9,0,-2,-3,-4
1449106764992,0,0,0,-1,13,9,-1,-4,-3,-3,-3
1449106764993,3,0,0,-4,-5,9,0,-3,-5,-4,-3
1449106764993,1,0,0,-1,-8,8,14,8,-1,-1,2
1449106764993,3,0,0,4,13,-7,-8,-4,-4,0,0
1449106764993,1,0,0,-4,-9,-13,-14,-3,3,1,-1
1449106764997,0,0,0,-4,-20,-21,-7,-1,2,-1,0
1449106764997,0,0,0,-2,-4,3,2,-1,-1,0,1
1449106765041,1,0,0,1,3,2,4,1,0,-1,1
1449106765041,1,0,0,2,9,5,5,2,2,0,2
1449106765042,2,0,0,-1,-2,-3,-11,-5,0,-1,-2
1449106765042,0,0,0,1,2,-6,-5,-2,-1,2,7
1449106765042,0,0,0,-4,6,3,2,4,-1,-1,-4
1449106765042,2,0,0,0,3,2,-9,-3,-3,-2,-1
1449106765043,1,0,0,-1,4,4,2,1,1,6,0
1449106765043,1,0,0,3,10,0,9,6,3,1,1
1449106765139,2,0,0,-6,-11,-2,-5,-1,-3,-5,-5
1449106765139,2,0,0,-4,0,-7,-9,-2,0,-4,-3
1449106765141,1,0,0,-3,4,-6,-2,-1,-2,1,0
1449106765141,3,0,0,2,-3,-3,-3,1,4,5,-2
1449106765141,3,0,0,-2,-5,-2,0,-8,-6,-2,0
1449106765141,1,0,0,-2,-4,-4,-3,-5,-5,-5,-3
1449106765142,2,0,0,2,3,-6,3,5,-2,-3,1
1449106765142,2,0,0,2,8,3,-7,-2,0,0,1
1449106765187,3,0,0,3,2,-6,-3,10,6,4,0
1449106765187,3,0,0,-1,1,5,-2,-4,-4,-3,-1
1449106765188,0,0,0,-3,-3,-2,4,5,4,4,-2
1449106765188,0,0,0,3,5,-3,1,-4,-4,1,3
1449106765195,2,0,0,-1,-6,4,-7,-8,0,1,-2
1449106765195,2,0,0,-2,-9,-1,-2,0,-3,-1,2
1449106765198,2,0,0,2,1,-10,-5,2,3,2,-10
1449106765198,2,0,0,-8,-13,-2,-7,-2,0,-4,-4
1449106765236,3,0,0,2,6,12,3,-3,-4,-1,1
1449106765236,3,0,0,-4,-1,-5,1,1,0,-5,-6
1449106765237,3,0,0,-2,4,29,7,1,1,4,0
1449106765237,0,0,0,-7,-11,-9,-2,-3,-4,-4,-10
1449106765237,0,0,0,11,-2,2,-3,-8,-3,-1,4
1449106765237,3,0,0,1,4,-15,-4,-8,-4,-1,0
1449106765238,0,0,0,0,3,19,12,6,2,-3,-3
1449106765238,0,0,0,8,11,32,14,2,0,8,14
1449106765285,2,0,0,-15,-9,9,-5,-6,-5,-7,-10
1449106765285,1,0,0,-2,-13,-76,-23,0,-3,-1,-1
1449106765285,1,0,0,7,1,-23,-16,-5,1,-12,-18
1449106765285,2,0,0,6,27,29,4,-1,-2,-5,6
1449106765286,0,0,0,-11,-5,0,-4,0,-5,-3,1
1449106765286,0,0,0,-17,-8,13,2,-4,-4,-8,-13
1449106765287,1,0,0,23,10,-3,-4,-6,-5,1,-3
1449106765287,1,0,0,-33,-28,-80,-10,2,3,25,21
1449106765334,2,0,0,6,8,79,1,-12,-1,-19,-54
1449106765334,3,0,0,28,12,29,5,3,22,86,65
1449106765334,3,0,0,0,18,49,14,4,7,17,24
1449106765334,2,0,0,-23,-27,-33,-10,-4,-14,-22,8
1449106765335,1,0,0,-8,-3,34,1,-12,-26,-42,-24
1449106765335,1,0,0,-3,12,19,-8,0,13,24,5
1449106765336,2,0,0,5,-2,-9,-11,-12,-6,-16,-20
1449106765336,2,0,0,29,-2,-15,-3,12,51,125,113
1449106765382,3,0,0,-7,-4,-22,0,5,-15,-49,-33
1449106765382,3,0,0,-16,-30,-13,-11,-11,-27,-55,-39
1449106765383,2,0,0,14,1,-20,29,18,7,26,24
1449106765383,0,0,0,-1,0,8,10,5,9,8,-4
1449106765383,2,0,0,7,8,-10,-18,-4,13,55,35
1449106765383,0,0,0,-2,5,-8,5,-2,-5,-13,-9
